parola,doc_freq_umano,doc_freq_macchina,delta
brain,0.039439439439439436,0.03673673673673674,-0.002702702702702696
hold,0.03053053053053053,0.028028028028028028,-0.0025025025025025016
stock,0.04984984984984985,0.04744744744744745,-0.002402402402402401
area,0.03983983983983984,0.03743743743743744,-0.002402402402402401
science,0.025925925925925925,0.023623623623623625,-0.0023023023023023004
apply,0.022122122122122122,0.02002002002002002,-0.0021021021021021026
allowed,0.021021021021021023,0.01891891891891892,-0.0021021021021021026
loan,0.028528528528528527,0.026426426426426425,-0.0021021021021021026
human,0.04264264264264264,0.04054054054054054,-0.002102102102102099
purpose,0.021521521521521522,0.01951951951951952,-0.002002002002002002
new,0.10250250250250251,0.1006006006006006,-0.0019019019019019118
sometimes,0.05655655655655656,0.054654654654654654,-0.0019019019019019048
becomes,0.023823823823823823,0.02192192192192192,-0.0019019019019019014
taken,0.021621621621621623,0.01991991991991992,-0.0017017017017017036
talk,0.022222222222222223,0.02052052052052052,-0.0017017017017017036
cost,0.05105105105105105,0.04944944944944945,-0.001601601601601603
humans,0.026426426426426425,0.024824824824824825,-0.0016016016016015995
paying,0.03643643643643644,0.034934934934934936,-0.0015015015015015024
live,0.03153153153153153,0.03003003003003003,-0.0015015015015014989
time,0.23913913913913915,0.23773773773773774,-0.0014014014014014087
mind,0.03303303303303303,0.03173173173173173,-0.0013013013013013011
game,0.026926926926926928,0.025725725725725727,-0.0012012012012012005
funds,0.02892892892892893,0.027827827827827827,-0.0011011011011011033
moving,0.02942942942942943,0.02832832832832833,-0.0011011011011010999
earth,0.022822822822822823,0.02182182182182182,-0.0010010010010010027
hot,0.021021021021021023,0.02022022022022022,-0.0008008008008008015
public,0.024424424424424423,0.023623623623623625,-0.000800800800800798
past,0.025525525525525526,0.024824824824824825,-0.0007007007007007009
decide,0.02012012012012012,0.01951951951951952,-0.0006006006006006002
company,0.06776776776776777,0.06726726726726727,-0.0005005005005005031
small,0.07867867867867868,0.07837837837837838,-0.00030030030030030186
program,0.023623623623623625,0.023323323323323323,-0.00030030030030030186
multiple,0.02772772772772773,0.027427427427427428,-0.00030030030030030186
profit,0.023023023023023025,0.022822822822822823,-0.00020020020020020124
taxes,0.03403403403403404,0.033833833833833836,-0.00020020020020020124
inside,0.02932932932932933,0.029129129129129128,-0.00020020020020020124
file,0.02112112112112112,0.020920920920920922,-0.00020020020020019777
created,0.02122122122122122,0.021021021021021023,-0.00020020020020019777
